epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.5165,0.8498,7.65234,0.00991,0.00575,1,0.43643,0.1745,1.09479,4.95908,0.01814,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,36.8905,1.31332,7.441,0.01309,0.0063,1,0.3469,0.13971,1.10515,4.96378,0.01824,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05
3,37.7457,1.07051,7.34523,0.011,0.00724,1,0.4832,0.19556,1.13529,4.97383,0.01894,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05
4,38.7838,1.03691,10.2977,0.01112,0.00788,1,0.32515,0.14933,1.07236,4.95197,0.01807,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138
5,39.717,0.84709,8.7557,0.01163,0.0086,1,0.42755,0.20975,1.10588,4.96055,0.0183,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226
6,40.7481,1.00759,6.12673,0.00781,0.0083,1,0.44879,0.20805,1.09905,4.95706,0.01818,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114
7,41.687,0.89077,8.81583,0.00734,0.00898,1,0.43548,0.17565,1.11031,4.96072,0.01778,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801
8,42.645,0.85881,7.51308,0.00983,0.01103,1,0.52103,0.21974,1.14783,4.97532,0.01917,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288
9,43.537,0.92697,6.35639,0.01126,0.01115,1,0.39824,0.16955,1.17595,4.98624,0.01916,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575
10,46.1857,0.90247,9.15459,0.00965,0.01174,1,0.50554,0.26568,1.18663,4.98699,0.02074,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661
