epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,14.5397,0.57933,6.26442,0.00631,0.00333,1,0.09512,0.05967,0.43084,5.9107,0.0056,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,16.4883,0.63149,6.15163,0.00555,0.00333,1,0.10148,0.07215,0.42654,5.90754,0.00524,0.000298515,9.9505e-05,0.000298515,9.9505e-05,0.000298515,9.9505e-05,0.000298515,9.9505e-05
3,17.9748,0.50981,6.42592,0.00572,0.00333,1,0.09568,0.06974,0.39982,5.88824,0.00565,0.000475248,0.000158416,0.000475248,0.000158416,0.000475248,0.000158416,0.000475248,0.000158416
4,19.3912,0.51946,5.65422,0.0048,0.00333,1,0.09527,0.07595,0.37827,5.87291,0.00533,0.000650199,0.000216733,0.000650199,0.000216733,0.000650199,0.000216733,0.000650199,0.000216733
5,20.7478,0.59252,5.62248,0.00493,0.00333,1,0.15124,0.12314,0.38017,5.87348,0.00544,0.000823368,0.000274456,0.000823368,0.000274456,0.000823368,0.000274456,0.000823368,0.000274456
6,22.0715,0.53626,5.99812,0.00511,0.00333,1,0.13462,0.11669,0.37646,5.87037,0.00536,0.000994755,0.000331585,0.000994755,0.000331585,0.000994755,0.000331585,0.000994755,0.000331585
7,23.3256,0.52027,6.41503,0.00469,0.00333,1,0.16542,0.14076,0.36773,5.86511,0.00519,0.00116436,0.00038812,0.00116436,0.00038812,0.00116436,0.00038812,0.00116436,0.00038812
8,24.3605,0.46207,6.11643,0.004,0.00333,1,0.17257,0.15044,0.37679,5.86832,0.00537,0.00133218,0.000444061,0.00133218,0.000444061,0.00133218,0.000444061,0.00133218,0.000444061
9,25.7011,0.537,5.94746,0.00513,0.00333,1,0.3331,0.28081,0.3693,5.81086,0.00493,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
10,26.8783,0.58425,5.70075,0.0053,0.00333,1,0.40223,0.34179,0.37492,5.80932,0.00492,0.00166248,0.000554161,0.00166248,0.000554161,0.00166248,0.000554161,0.00166248,0.000554161
11,28.1917,0.47004,5.74476,0.00368,0.00333,1,0.51385,0.4144,0.35663,5.79711,0.0048,0.00182496,0.00060832,0.00182496,0.00060832,0.00182496,0.00060832,0.00182496,0.00060832
12,29.3495,0.50067,5.70207,0.00505,0.00333,1,0.52591,0.44163,0.37362,5.80755,0.00521,0.00198566,0.000661885,0.00198566,0.000661885,0.00198566,0.000661885,0.00198566,0.000661885
13,30.6887,0.50567,5.43023,0.00489,0.00333,1,0.52671,0.44282,0.34121,5.78365,0.00509,0.00214457,0.000714856,0.00214457,0.000714856,0.00214457,0.000714856,0.00214457,0.000714856
14,30.8224,0.44643,5.52787,0.00453,0.00333,1,0.56425,0.46047,0.34463,5.78186,0.00511,0.0023017,0.000767233,0.0023017,0.000767233,0.0023017,0.000767233,0.0023017,0.000767233
